"ppntID","gender","age","language","country","screenheight","screenwidth"
2470814,"female","22","english","United States",900,1440
7524854,"male","30","english","United States",1080,1920
1578446,"male","30","english","United States",1152,2048
6742801,"male","30","english","United States",800,1280
266893,"male","32","english","United States",900,1600
6939610,"male","29","english","United States",1440,2560
7040680,"male","23","english","United States",1080,1920
4818044,"female","25","english","United States",768,1366
6736668,"male","40","english","United States",1200,1920
7508343,"male","41","english","United States",900,1440
5626858,"male","22","english*comma*spanish","United States",1080,1920
8817579,"male","35","english","United States",864,1536
5000535,"male","39","english","United States",1440,2560
360353,"female","42","english","United States",768,1366
6379588,"other","24","english","United States",740,360
8780862,"female","29","english","United States",768,1366
5526748,"male","37","english","United States",768,1366
8178931,"male","36","english","United States",1080,1920
5961122,"female","26","english","United States",1080,1920
4246191,"female","52","english","United States",900,1440
5229204,"male","31","english","United States",768,1366
8093458,"male","26","english","United States",900,1600
5620808,"female","29","english","United States",1200,1920
933770,"female","19","english","United States",1440,2560
3672340,"male","22","english","United States",1440,2560
9574418,"female","36","english","United States",840,1344
9390506,"male","55","english","United States",768,1366
7597914,"male","37","english","United States",1080,1920
3696013,"male","31","english","United States",768,1366
3887104,"male","31","english","United States",900,1600
9384185,"female","49","english","United States",1440,2560
5360534,"male","42","english","United States",1024,1280
2601718,"female","44","english","United States",900,1440
8808012,"female","26","english","United States",768,1366
5246620,"male","29","english","United States",1080,1920
3739347,"female","30","english","United States",768,1366
937927,"female","62","english","United States",768,1024
5197427,"female","31","english","United States",720,1280
3239821,"male","45","english","United States",2160,3840
5152704,"female","38","english","United States",900,1440
6856668,"female","39","english","United States",768,1024
2561513,"female","52","english","United States",1050,1680
4058239,"female","26","english","United States",1080,1920
3603905,"male","33","english","United States",1080,1920
6683904,"female","32","english ","United States",896,414
1121952,"male","28","english","United States",1080,1920
9373525,"male","38","english","United States",768,1366
6150230,"male","41","english","United States",1080,1920
3930265,"male","28","english","United States",1080,1920
6463629,"female","41","english","United States",768,1366
5368935,"male","45","english","United States",900,1600
2945444,"male","28","english","United States",768,1366
4176976,"female","46","english","United States",768,1366
4384635,"male","29","english","United States",1080,1920
3302886,"male","36","english","United States",1080,1920
2716780,"male","29","english","United States",720,1280
3014878,"male","30","english","United States",900,1440
6329145,"male","31","english","United States",618,1098
7864291,"male","25","english","United States",1080,1920
20444,"female","24","english","United States",768,1366
5405294,"male","35","english","United States",768,1366
2193977,"male","27","english","United States",768,1366
2392138,"male","37","english","United States",1080,1920
4772368,"female","25","english","United States",864,1536
337054,"female","32","english","United States",800,1280
1509863,"female","34","english","United States",768,1366
2766326,"male","21","english","United States",1080,1920
4473119,"male","30","english","United States",1080,1920
6549816,"male","35","english","United States",1080,1920
9732209,"male","32","english","United States",1080,1920
2483863,"male","26","english","United States",1080,1920
1447958,"male","20","english","United States",1080,1920
2746452,"female","36","english","United States",768,1366
8928520,"male","25","english","United States",1080,1920
7341183,"female","26","english","United States",768,1366
9930353,"male","31","english","United States",1080,1920
6753007,"female","25","english","United States",1050,1680
5058479,"other","20","english","United States",1080,1920
2672173,"female","36","english","United States",1152,2048
6895875,"female","36","english","United States",1080,1920
4993010,"male","25","english","United States",1080,1920
9616142,"female","39","english","United States",864,1536
8644893,"female","36","english","United States",768,1366
5890670,"female","57","english","United States",800,1280
1214030,"female","23","english","United States",1440,2560
9392355,"male","33","english","United States",900,1600
3348605,"female","36","english","United States",1080,1920
3238478,"female","21","english","United States",720,1280
4958378,"male","37","english","United States",720,1280
4958378,"male","37","english","United States",720,1280
8060814,"female","30","english","United States",912,1368
8379261,"female","61","english","United States",900,1600
109880,"female","58","english","United States",768,1360
9446527,"male","25","english","United States",720,1280
5291269,"female","40","english","United States",768,1366
1350076,"male","21","english","United States",1080,1920
2698668,"male","29","english","United States",1200,1920
5736507,"male","33","english","United States",768,1366
989759,"male","40","italian","United States",1463,915
9268690,"male","38","english","United States",900,1600
3449062,"male","22","english","United States",768,1366
8574425,"female","44","english","United States",752,1336
7473475,"female","35","english","United States",768,1366
5186738,"male","27","english","United States",768,1366
7430505,"male","48","english","United States",864,1536
5320203,"female","31","english","United States",768,1366
8995727,"male","22","english","United States",720,1280
851897,"male","64","english","United States",768,1366
6181770,"female","35","english","Lithuania",768,1366
1167647,"female","52","english","United States",864,1536
5549572,"male","30","english","United States",900,1440
747608,"female","35","english","United States",768,1366
4685232,"male","31","english","United States",768,1366
977820,"male","34","english","United States",1440,2560
1089703,"male","27","english","United States",720,1280
3276237,"female","64","english","United States",768,1366
1359525,"female","33","english","United States",1080,1920
4728530,"female","34","english","United States",768,1366
1003820,"male","61","english","United States",1080,1920
2351559,"male","29","english","United States",900,1600
660562,"male","24","english","United States",768,1366
2677640,"male","19","english*comma* chinese","United States",667,375
4319328,"male","34","english","United States",864,1536
7817393,"male","34","english","United States",768,1024
781908,"male","62","english","United States",768,1366
4386292,"male","32","english","United States",1080,1920
4767668,"female","24","english","United States",1080,1920
8932987,"female","37","english","United States",900,1600
6012730,"male","32","english","United States",1440,2560
2264945,"male","26","english","United States",768,1366
1149430,"male","21","english","United States",853,1517
5445905,"female","25","english","United States",1080,1920
1365409,"male","44","english","United States",864,1536
1365409,"male","44","english","United States",864,1536
9037806,"female","20","english","United States",864,1537
2780199,"male","22","english","United States",1080,1920
8394254,"female","29","english","United States",1080,1920
9132787,"male","27","english","United States",864,1536
1385901,"female","34","english","United States",768,1366
2212422,"female","36","english","United States",576,1024
8552447,"female","55","english","United States",900,1440
4922425,"female","26","english","United States",864,1536
3267309,"male","37","english","United States",1080,1920
6977569,"female","26","enlish","United States",800,1280
3805146,"male","28","english","United States",768,1366
7528534,"male","30","english","United States",1080,1920
5298933,"male","39","english","United States",1050,1680
9763115,"male","26","english","United States",1080,1920
1004930,"male","37","english","United States",1080,1920
1227294,"male","32","english","United Kingdom",768,1366
3129022,"female","47","english","United States",1080,1920
45319,"male","42","english","United States",1152,2048
7226912,"female","28","english","United States",1080,1920
6834235,"male","29","english","United States",1080,1920
8277671,"male","24","english","United States",768,1366
1797285,"male","45","english","United States",1080,1920
4411154,"male","32","english","United States",900,1440
5590378,"male","54","english","United States",1080,1920
1546123,"male","27","english","United States",768,1366
2624823,"male","31","english","United States",900,1440
4924904,"male","24","english","United States",1080,1920
6988146,"male","50","english","United States",1080,1920
187144,"male","30","english","United States",900,1440
85354,"male","22","english","United States",768,1366
6046500,"male","19","english","United States",800,1280
3472839,"male","26","english","United States",1080,1920
9039270,"male","18","english","United States",900,1600
9732554,"female","25","english","United States",1200,1920
375104,"female","28","english","United States",768,1366
3882812,"male","33","english","United States",900,1440
8596016,"male","26","english","United States",864,1536
2309431,"female","28","english","United States",812,375
708889,"female","39","english","United States",768,1024
8769221,"male","62","english","United States",860,1376
5671116,"male","28","english","United States",1024,1280
310588,"female","33","english","United States",716,1272
6347650,"female","22","english","United States",768,1366
8984595,"male","40","english","United States",900,1600
8530051,"female","32","english","United States",1080,1920
7174220,"female","30","english","United States",1080,1920
7481314,"male","39","english","United States",900,1440
5554705,"female","33","english","United States",768,1366
3330610,"male","30","english","United States",1080,1920
361008,"male","55","english","United States",1080,1920
1905455,"female","51","english","United States",768,1366
5488423,"female","32","english","United States",768,1366
5784272,"male","28","english","United States",900,1440
9129530,"female","34","english","United States",768,1366
3743887,"male","26","english","United States",768,1366
3800441,"female","58","english","United States",800,1280
1715096,"male","23","english","United States",720,1280
3122357,"male","33","english","United States",1440,2560
6350701,"female","50","english","United States",768,1366
2837924,"male","34","english","United States",1080,1920
2454733,"male","23","english","United States",1080,1920
7726607,"female","25","spanish*comma* english","United States",768,1366
4450498,"female","61","english","United States",900,1600
8943991,"male","30","english","United States",864,1536
8363576,"male","21","english","United States",720,1280
8724224,"female","58","english","United States",1080,2560
5458274,"female","38","english","United States",740,360
9340811,"female","40","english","United States",864,1536
3624022,"male","28","english ","United States",1080,1920
388131,"female","38","english","United States",768,1366
8288693,"male","48","english","United States",800,1280
8170664,"male","38","english","United States",864,1536
7606929,"male","35","english","United States",864,1536
8524305,"female","34","english","United States",768,1366
8524305,"female","34","english","United States",768,1366
1119243,"female","62","english","United States",1080,1920
8934512,"female","29","english","United States",1080,1920
918371,"male","30","english","United States",1080,1920
1953156,"female","41","english","United States",1080,1920
4775958,"male","46","nepali","United States",800,1280
1738108,"male","31","english","United States",768,1366
4353951,"female","42","english","United States",1080,1920
7529251,"female","59","eng","United States",768,1024
4277304,"female","51","english","United States",1080,1920
1211419,"female","36","english","United States",1080,1920
6362337,"male","20","english","United States",1080,1920
6916358,"male","29","english","United States",768,1366
4863126,"male","38","english","United States",960,455
1065542,"male","22","english ","United States",1080,1920
914497,"male","60","english","United States",768,1366
751511,"female","55","english","United States",864,1536
7164714,"male","25","english","United States",1080,1920
2081435,"male","38","english","United States",1026,1824
7755160,"male","27","english","United States",768,1366
6966635,"male","26","english","United States",1080,1920
4970504,"male","26","english","United States",768,1366
5707442,"male","23","english","United States",800,1280
9377052,"male","28","english","United States",1440,2560
1188502,"female","34","english","United States",768,1366
391689,"male","26","english","United States",768,1366
5182431,"female","43","english","United States",1080,1920
897163,"male","39","english","United States",1080,1920
7038592,"male","25","english","United States",768,1366
2621324,"male","27","english","United States",768,1366
9913165,"female","64","english","United States",768,1366
2255955,"female","49","english","United States",768,1366
3274947,"male","25","english","United States",768,1366
4811636,"female","38","english","United States",768,1366
7627674,"male","35","english","United States",768,1366
759853,"male","44","english","United States",900,1600
2853447,"female","24","english","United States",900,1440
6354609,"female","34","finnish","United States",1200,1920
1960848,"female","26","english","United States",900,1600
9819699,"male","27","english","United States",900,1600
5727218,"male","28","english","United States",894,1118
8387375,"male","26","english","United States",1080,1920
287982,"female","34","english","United States",1080,1920
9582814,"male","23","english","United States",1080,1920
5038110,"male","36","english","United States",720,1280
6610409,"male","34","english","United States",768,1366
902451,"male","29","english","United States",1080,1920
3451115,"male","22","english","United States",1080,1920
8532255,"female","40","english","United States",615,1093
1223686,"female","39","english","United States",768,1366
164757,"male","32","english","United States",1440,2560
8998762,"female","34","english","United States",768,1366
2776757,"male","24","english","United States",1080,1920
4396199,"male","37","english","United States",1050,1680
1591259,"male","25","english","United States",768,1366
1591259,"male","25","english","United States",768,1366
8560211,"female","45","english","United States",900,1600
2234130,"male","51","english","United States",1080,1920
1591259,"male","25","english","United States",768,1366
2677856,"female","37","english","United States",1080,1920
1591259,"male","25","english","United States",768,1366
3323254,"female","26","english","United States",1080,1920
3306036,"male","43","english","United States",1080,1920
1306581,"female","22","english","United States",900,1440
819648,"female","32","english","United States",768,1366
4408311,"female","28","english","United States",1080,1920
1120054,"male","29","english","United States",960,1707
4378929,"male","55","english","United States",960,1707
7474802,"male","42","english","United States",1080,1920
6345966,"male","25","english","United States",1050,1680
4966054,"male","38","english","United States",768,1366
2139519,"female","30","english","United States",768,1366
